DEPENDENCIA / ENTIDAD,NOMBRE UC,CLAVE UC,N?MERO DE PROCEDIMIENTO,TIPO DE PROCEDIMIENTO,TIPO CONTRATACI?N,CARACTER,N?MERO DE CONTRATO,REFERENCIA DE LA CONTRATACI?N,FECHA DE SUSCRIPCI?N DE CONTRATO,IMPORTE MN SIN IVA,RAZ?N SOCIAL,URL DEL CONTRATO
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Subdirecci¢n Administrativa Centro MÇdico Nacional 20 de Noviembre,00637010,00637010-010-11,Licitaci¢n P£blica,Adquisiciones,Internacional,1-0576/11,"adquisicion de Material de Curacion fuera de cuadro basico, mediante contrato abierto",17/05/2011,"$590,660.00","SISTEMAS Y DISPOSITIVOS CIBERNETICOS, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=1-0576/11&p_CveDep=00637&p_CveUni=010&p_NumeroLc=010&p_AnioLc=2011&ConSin=1
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Subdirecci¢n Administrativa Centro MÇdico Nacional 20 de Noviembre,00637010,00637010-010-11,Licitaci¢n P£blica,Adquisiciones,Internacional,1-0577/11,"adquisicion de Material de Curacion fuera de cuadro basico, mediante contrato abierto",17/05/2011,"$283,253.00","UCIN MEDICA, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=1-0577/11&p_CveDep=00637&p_CveUni=010&p_NumeroLc=010&p_AnioLc=2011&ConSin=1
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Subdirecci¢n Administrativa Centro MÇdico Nacional 20 de Noviembre,00637010,00637010-011-11,Licitaci¢n P£blica,Adquisiciones,Internacional,1-0453/11,"adquisicion de medicamentos fuera de cuadro basico, mediante contrato abierto a plazos recortados",09/06/2011,"$29,404.25","COMPA•IA INTERNACIONAL MEDICA, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=1-0453/11&p_CveDep=00637&p_CveUni=010&p_NumeroLc=011&p_AnioLc=2011&ConSin=1
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Subdirecci¢n Administrativa Centro MÇdico Nacional 20 de Noviembre,00637010,00637010-011-11,Licitaci¢n P£blica,Adquisiciones,Internacional,1-0455/11,"adquisicion de medicamentos fuera de cuadro basico, mediante contrato abierto a plazos recortados",09/06/2011,"$2,874,043.20",GENZYME MEXICO S. DE R.L. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=1-0455/11&p_CveDep=00637&p_CveUni=010&p_NumeroLc=011&p_AnioLc=2011&ConSin=1
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Subdirecci¢n Administrativa Centro MÇdico Nacional 20 de Noviembre,00637010,00637010-011-11,Licitaci¢n P£blica,Adquisiciones,Internacional,1-0456/11,"adquisicion de medicamentos fuera de cuadro basico, mediante contrato abierto a plazos recortados",09/06/2011,"$1,916,009.72","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=1-0456/11&p_CveDep=00637&p_CveUni=010&p_NumeroLc=011&p_AnioLc=2011&ConSin=1
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Subdirecci¢n Administrativa Centro MÇdico Nacional 20 de Noviembre,00637010,00637010-011-11,Licitaci¢n P£blica,Adquisiciones,Internacional,1-0457/11,"adquisicion de medicamentos fuera de cuadro basico, mediante contrato abierto a plazos recortados",09/06/2011,"$1,358,780.89","RALCA, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=1-0457/11&p_CveDep=00637&p_CveUni=010&p_NumeroLc=011&p_AnioLc=2011&ConSin=1
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Subdirecci¢n Administrativa Centro MÇdico Nacional 20 de Noviembre,00637010,00637010-005-10,Licitaci¢n P£blica,Adquisiciones,Internacional,1-0801/10,"adquisici?n de Equipo Medico, Mobiliario y Equipo de Laboratorio",06/01/2011,"$260,000.00","ALTA TECNOLOGIA EN LABORATORIOS, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=1-0801/10&p_CveDep=00637&p_CveUni=010&p_NumeroLc=005&p_AnioLc=2010&ConSin=1
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Subdirecci¢n Administrativa Centro MÇdico Nacional 20 de Noviembre,00637010,00637010-002-11,Licitaci¢n P£blica,Servicios,Nacional,20001-11,contratacion del servicio de Gas L.P.,28/01/2011,"$448,000.00",GUILLERMINA BELTRAN FLORES,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=20001-11&p_CveDep=00637&p_CveUni=010&p_NumeroLc=002&p_AnioLc=2011&ConSin=1
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Subdirecci¢n Administrativa Centro MÇdico Nacional 20 de Noviembre,00637010,00637010-006-11,Licitaci¢n P£blica,Adquisiciones,Nacional,DSG-004-11,"adquisicion de vales de gasolina para el parque vehicular del Centro Medico Nacional ""20 de Noviembre""",09/05/2011,"$1,464,000.00",CONSORCIO GASOLINERO PLUS S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=DSG-004-11&p_CveDep=00637&p_CveUni=010&p_NumeroLc=006&p_AnioLc=2011&ConSin=1
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Subdirecci¢n Administrativa Hospital Regional General Ignacio Zaragoza,00637011,00637011-002-11,Licitaci¢n P£blica,Adquisiciones,Nacional,HRGIZ/CRM/162/2011,Oxigeno Medicinal.,01/04/2011,"$596,106.00","PRAXAIR MêXICO, S.DE R.L. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=HRGIZ/CRM/162/2011&p_CveDep=00637&p_CveUni=011&p_NumeroLc=002&p_AnioLc=2011&ConSin=1
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Departamento de Obras y Mantenimiento en Oaxaca,637078,00637078-001-11,Licitaci¢n P£blica,Obra Publica,Nacional,DRMO/OM-012/2011,"""Mantenimiento y Conservacion de Inmuebles""",30/06/2011,"$755,307.97",ARQUITECTURA EMPRESARIAL SG S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=DRMO/OM-012/2011&p_CveDep=00637&p_CveUni=078&p_NumeroLc=001&p_AnioLc=2011&ConSin=1
INSTITUTO DE SERVICIOS DESCENTRALIZADOS DE SALUD P?BLICA DEL ESTADO DE CAMPECHE,"Subdirecci¢n de Obras, Conservaci¢n y Mantenimiento",34101002,34101002-002-10,Licitaci¢n P£blica,Obra Publica,Nacional,INDESALUD-OP-002/11,"""SUSTITUCION DEL HOSPITAL INTEGRAL DE HOPELCHEN"" (SEGUNDA ETAPA DE LA CONSTRUCCION).",07/02/2011,"$2,240,896.60",PROYECTOS LUVIENA SA DE CV,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=INDESALUD-OP-002/11&p_CveDep=34101&p_CveUni=002&p_NumeroLc=002&p_AnioLc=2010&ConSin=1
INSTITUTO DEL PATRIMONIO INMOBILIARIO DE LA ADMINISTRACI?N P?BLICA DEL ESTADO DE QUINTANA ROO,Direcci¢n de Administraci¢n,52902002,52902002-001-11,Licitaci¢n P£blica,Adquisiciones,Nacional,LPN01-11,Suministro de material y ótiles de oficina.,21/02/2011,"$6,195.01",GENNY ROCIO DEL ROSARIO CERON MENDOZA,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=LPN01-11&p_CveDep=52902&p_CveUni=002&p_NumeroLc=001&p_AnioLc=2011&ConSin=1
INSTITUTO DEL PATRIMONIO INMOBILIARIO DE LA ADMINISTRACI?N P?BLICA DEL ESTADO DE QUINTANA ROO,Direcci¢n de Administraci¢n,52902002,52902002-002-11,Licitaci¢n P£blica,Adquisiciones,Nacional,LPN02-11,SUMINISTRO DE MATERIAL Y UTILES PARA EL PROCESAMIENTO EN EQUIPOS Y BIENES INFORMATICOS,21/02/2011,"$68,341.00",VIANY ANAHI HERNANDEZ ARCOS,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=LPN02-11&p_CveDep=52902&p_CveUni=002&p_NumeroLc=002&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA EDUCATIVA DE MORELOS,Departamento de Costos y Presupuestos,46079001,46079001-009-10,Licitaci¢n P£blica,Adquisiciones,Nacional,INEIEM-AD-253-10 FAM,adquisici?n de mobiliario b?sico para la Universidad Tecnologica de Emiliano Zapata ubicada en la Localidad de Palo Escrito en el Municipio de Emiliano Zapata en el Estado de Morelos,18/02/2011,"$639,000.00","MANUFACTURAS POST-FORM,S,A. DE C. V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=INEIEM-AD-253-10 FAM&p_CveDep=46079&p_CveUni=001&p_NumeroLc=009&p_AnioLc=2010&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53129001,53129001-002-11,Licitaci¢n P£blica,Adquisiciones,Nacional,003/2011ADQ,Adquisici¢n de Mobiliario y Equipo.,09/02/2011,"$38,340.00","MUEBLES NORIEGA, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=003/2011ADQ&p_CveDep=53129&p_CveUni=001&p_NumeroLc=002&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53129001,53129001-002-11,Licitaci¢n P£blica,Adquisiciones,Nacional,004/2011ADQ,Adquisici¢n de Mobiliario y Equipo.,09/02/2011,"$23,349.00","OFICINAS Y ESCOLARES, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=004/2011ADQ&p_CveDep=53129&p_CveUni=001&p_NumeroLc=002&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53129001,53129001-002-11,Licitaci¢n P£blica,Adquisiciones,Nacional,005/2011ADQ,Adquisici¢n de Mobiliario y Equipo.,09/02/2011,"$66,459.00",COMPUTADORAS Y NOTEBOOKS S. A. DE C. V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=005/2011ADQ&p_CveDep=53129&p_CveUni=001&p_NumeroLc=002&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53129001,53129001-003-11,Licitaci¢n P£blica,Adquisiciones,Nacional,008/2011ADQ,Adquisici¢n de Mobiliario y Equipo.,03/05/2011,"$100,492.32","ARTICULOS LA FORTALEZA, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=008/2011ADQ&p_CveDep=53129&p_CveUni=001&p_NumeroLc=003&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53129001,53129001-003-11,Licitaci¢n P£blica,Adquisiciones,Nacional,01072011ADQ,Adquisici¢n de Mobiliario y Equipo.,18/03/2011,"$61,973.27",PROESA TECNOGAS S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=01072011ADQ&p_CveDep=53129&p_CveUni=001&p_NumeroLc=003&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53129001,53129001-003-11,Licitaci¢n P£blica,Adquisiciones,Nacional,015/2011ADQ,Adquisici¢n de Mobiliario y Equipo.,18/03/2011,"$11,130.00",EQUIPOS Y REFRIGERACI?N TOLEDO DE MêXICO S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=015/2011ADQ&p_CveDep=53129&p_CveUni=001&p_NumeroLc=003&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53129001,53129001-002-11,Licitaci¢n P£blica,Adquisiciones,Nacional,002/2011ADQ,Adquisici¢n de Mobiliario y Equipo.,09/02/2011,"$601,530.00",EXPOSICION DE COMPUTADORAS DE SAN LUIS S. DE R.L. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=002/2011ADQ&p_CveDep=53129&p_CveUni=001&p_NumeroLc=002&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-004-11,Licitaci¢n P£blica,Adquisiciones,Nacional,019/2011ADQ,ADQUISICION DE EQUIPAMIENTO PARA LOS LABORATORIOS DEL INSTITUTO TECNOLOGICO SUPERIOR DE RIOVERDE S. L. P.,29/04/2011,"$843,318.00",MC MICROCOMPUTACION S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=019/2011ADQ&p_CveDep=53904&p_CveUni=001&p_NumeroLc=004&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-004-11,Licitaci¢n P£blica,Adquisiciones,Nacional,020/2011ADQ,ADQUISICION DE EQUIPAMIENTO PARA LOS LABORATORIOS DEL INSTITUTO TECNOLOGICO SUPERIOR DE RIOVERDE S. L. P.,29/04/2011,"$6,422.50","REPRESENTACIONES MEDICAS Y DE LABORATORIO, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=020/2011ADQ&p_CveDep=53904&p_CveUni=001&p_NumeroLc=004&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-004-11,Licitaci¢n P£blica,Adquisiciones,Nacional,023/2011ADQ,ADQUISICION DE EQUIPAMIENTO PARA LOS LABORATORIOS DEL INSTITUTO TECNOLOGICO SUPERIOR DE RIOVERDE S. L. P.,29/04/2011,"$132,800.00","COMERCIALIZADORA Y DISTRIBUIDORA LASER ALENA, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=023/2011ADQ&p_CveDep=53904&p_CveUni=001&p_NumeroLc=004&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-004-11,Licitaci¢n P£blica,Adquisiciones,Nacional,030/2011ADQ,ADQUISICION DE EQUIPAMIENTO PARA LOS LABORATORIOS DEL INSTITUTO TECNOLOGICO SUPERIOR DE RIOVERDE S. L. P.,29/04/2011,"$452,400.00","MAQUINAS DE DIBUJO, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=030/2011ADQ&p_CveDep=53904&p_CveUni=001&p_NumeroLc=004&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-004-11,Licitaci¢n P£blica,Adquisiciones,Nacional,025/2011 ADQ,ADQUISICION DE EQUIPAMIENTO PARA LOS LABORATORIOS DEL INSTITUTO TECNOLOGICO SUPERIOR DE RIOVERDE S. L. P.,29/04/2011,"$700,000.00",INTELTECH SA DE CV,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=025/2011 ADQ&p_CveDep=53904&p_CveUni=001&p_NumeroLc=004&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-006-11,Licitaci¢n P£blica,Adquisiciones,Nacional,039/2011ADQ,ADQUISICION DE EQUIPAMIENTO PARA LOS LABORATORIOS DE LOS INSTITUTOS TECNOLOGICOS SUPERIORES DE TAMAZUNCHALE Y EBANO S. L. P.,19/08/2011,"$6,343,382.36",ASIATECH S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=039/2011ADQ&p_CveDep=53904&p_CveUni=001&p_NumeroLc=006&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-006-11,Licitaci¢n P£blica,Adquisiciones,Nacional,042/2011ADQ,ADQUISICION DE EQUIPAMIENTO PARA LOS LABORATORIOS DE LOS INSTITUTOS TECNOLOGICOS SUPERIORES DE TAMAZUNCHALE Y EBANO S. L. P.,19/08/2011,"$457,950.00",SECUREZZA S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=042/2011ADQ&p_CveDep=53904&p_CveUni=001&p_NumeroLc=006&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-006-11,Licitaci¢n P£blica,Adquisiciones,Nacional,043/2011ADQ,ADQUISICION DE EQUIPAMIENTO PARA LOS LABORATORIOS DE LOS INSTITUTOS TECNOLOGICOS SUPERIORES DE TAMAZUNCHALE Y EBANO S. L. P.,19/08/2011,"$3,332,000.00",FESTO PNEUMATIC S.A.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=043/2011ADQ&p_CveDep=53904&p_CveUni=001&p_NumeroLc=006&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-006-11,Licitaci¢n P£blica,Adquisiciones,Nacional,045/2011ADQ,ADQUISICION DE EQUIPAMIENTO PARA LOS LABORATORIOS DE LOS INSTITUTOS TECNOLOGICOS SUPERIORES DE TAMAZUNCHALE Y EBANO S. L. P.,19/08/2011,"$726,374.48","REPRESENTACIONES MEDICAS Y DE LABORATORIO, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=045/2011ADQ&p_CveDep=53904&p_CveUni=001&p_NumeroLc=006&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53129001,53129001-005-11,Licitaci¢n P£blica,Obra Publica,Nacional,53129001-005-11,"Construcci¢n de Unidad Multifuncional de talleres y laboratorios y obras exteriores, en el Instituto Tecnol¢gico de Matehuala, en Matehuala, S.L.P.",07/07/2011,"$7,725,451.17","CONST. DE OBRAS Y PROYECTOS ELECTROCIVILES MARIA, S.A DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=53129001-005-11&p_CveDep=53129&p_CveUni=001&p_NumeroLc=005&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53129001,53129001-006-11,Licitaci¢n P£blica,Obra Publica,Nacional,53129001-006-11,"Construcci¢n de barda perimetral, en la Universidad Tecnol¢gica, en Rancho Nuevo, en Soledad de Graciano S†nchez, S.L.P.",06/07/2011,"$1,953,134.18","GENARI CONSTRUCCIONES, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=53129001-006-11&p_CveDep=53129&p_CveUni=001&p_NumeroLc=006&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53129001,53129001-007-11,Licitaci¢n P£blica,Obra Publica,Nacional,53129001-007-11,"Construcci¢n de gradas y vestidores, en la Universidad Tecnol¢gica, en Rancho Nuevo, en Soledad de Graciano S†nchez, S.L.P.",15/07/2011,"$3,122,618.40","INMOBILIARIA Y CONSTRUCCIONES FLOBAT, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=53129001-007-11&p_CveDep=53129&p_CveUni=001&p_NumeroLc=007&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53129001,53129001-008-11,Licitaci¢n P£blica,Obra Publica,Nacional,53129001-008-11,"Construcci¢n de archivo de concentraci¢n y departamento de mantenimiento, en la Universidad Tecnol¢gica, en Rancho Nuevo, en Soledad de Graciano S†nchez, S.L.P.",15/07/2011,"$1,328,746.13","PROYECTOS Y CONSTRUCCIONES VENADO, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=53129001-008-11&p_CveDep=53129&p_CveUni=001&p_NumeroLc=008&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-001-11,Licitaci¢n P£blica,Obra Publica,Nacional,53904001-001-11,"Construcci¢n de Edificio ""A"", estructura Regional 6.00X8.00 m, 3 Aulas Did†cticas, Servicios Sanitarios y Direcci¢n, Obras Exteriores y Cerco Perimetral. En E. P. Jorge Obispo Hern†ndez, El Terremoto, S.L.P.",06/04/2011,"$930,293.37",GRUPO CONSTRUCTOR TESA SA DE CV,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=53904001-001-11&p_CveDep=53904&p_CveUni=001&p_NumeroLc=001&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-002-11,Licitaci¢n P£blica,Obra Publica,Nacional,53904001-002-11,"Construcci¢n de la 1¶ etapa del Edificio ""A"" Estructura U-1C, 5 e.e. Area Administrativa y Obras Exteriores. En Esc. Sec. Tec. # 83, Col. 6 de junio, S.L.P.",06/04/2011,"$832,929.81","GRUPO CONSTRUCTOR MORIVE, S.A DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=53904001-002-11&p_CveDep=53904&p_CveUni=001&p_NumeroLc=002&p_AnioLc=2011&ConSin=1
INSTITUTO ESTATAL DE INFRAESTRUCTURA F?SICA EDUCATIVA DE SAN LUIS POTOS?,Direcci¢n General,53904001,53904001-003-11,Licitaci¢n P£blica,Obra Publica,Nacional,53904001-003-11,"Construcci¢n de Taller de computo edif. ""D"" estructura U-1C, 3 e. e. Rehabilitaci¢n General del edificio ""C"" y Obras Exteriores. En Esc. Sec. Tec. # 88, Col. Ponciano Arriaga, S.L.P.",06/04/2011,"$686,693.85","GENARI CONSTRUCCIONES, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosOpU.detalle?p_numconobr=53904001-003-11&p_CveDep=53904&p_CveUni=001&p_NumeroLc=003&p_AnioLc=2011&ConSin=1
INSTITUTO FEDERAL ELECTORAL,Direcci¢n de Recursos Materiales y Servicios,00100001,00100001-019-10,Licitaci¢n P£blica,Servicios,Nacional,010/2011,Contrataci?n de los servicios de una casa productora para la producci?n de materiales audiovisuales de la Campa?a Institucional 2011-2012.,17/02/2011,"$29,065,241.20","YAI  PRODUCCIONES, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=010/2011&p_CveDep=00100&p_CveUni=001&p_NumeroLc=019&p_AnioLc=2010&ConSin=1
INSTITUTO FEDERAL ELECTORAL,Direcci¢n de Recursos Materiales y Servicios,00100001,00100001-018-10,Licitaci¢n P£blica,Servicios,Nacional,008/2010,Contrataci?n plurianual de los servicios de una agencia de publicidad para el dise?o de la estrategia racional creativo y desarrollo de materiales impresos y audiovisuales de la Campa?a Institucional 2011-2012.,28/01/2011,"$5,600,000.00",ARRECHEDERA Y CLAVEROL SA DE CV,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=008/2010&p_CveDep=00100&p_CveUni=001&p_NumeroLc=018&p_AnioLc=2010&ConSin=1
INSTITUTO MATERNO INFANTIL DEL ESTADO DE MêXICO,Departamento de Recursos Materiales,44908001,44908001-003-11,Licitaci¢n P£blica,Adquisiciones,Nacional,133 143 150 154,Material de Aseo y Limpieza y Enseres de Oficina,17/05/2011,"$12,566.40","PIBRA, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=133 143 150 154&p_CveDep=44908&p_CveUni=001&p_NumeroLc=003&p_AnioLc=2011&ConSin=1
INSTITUTO MATERNO INFANTIL DEL ESTADO DE MêXICO,Departamento de Recursos Materiales,44908001,44908001-015-10,Licitaci¢n P£blica,Adquisiciones,Nacional,J-61 71 2011,Equipo MÇdico  y de Laboratorio,31/01/2011,"$109,275.86","COMERCIALIZADORA EL RELOJ, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=J-61 71 2011&p_CveDep=44908&p_CveUni=001&p_NumeroLc=015&p_AnioLc=2010&ConSin=1
INSTITUTO MATERNO INFANTIL DEL ESTADO DE MêXICO,Departamento de Recursos Materiales,44908001,44908001-006-11,Licitaci¢n P£blica,Adquisiciones,Nacional,J-184,"Vestuario, Uniformes y Blancos y Blancos y Otros Textiles",08/06/2011,"$83,970.00",COMERCIALIZADORA MARION S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=J-184&p_CveDep=44908&p_CveUni=001&p_NumeroLc=006&p_AnioLc=2011&ConSin=1
